ID,Account,Product,Period,Price
2501,Bulletinte,Orange Punch,4/23/2015,16.9
2504,Chicatrisv,Flower Bouquet,4/23/2015,11.76
2507,Cellisti,Buzz Cola,4/2/2015,19.66
2508,Posamne,Snow Plow,4/20/2015,8.04
2510,Hansgen,Flower Bouquet,4/22/2015,16.88
2513,Firstrous,Buzz Cola,4/16/2015,22.62
2516,Arouset,Almond Milk,4/24/2015,6.12
2518,Chicatrisv,Barley,4/24/2015,12.56
2521,Shualich,Buzz Cola,4/25/2015,10.2
2525,Keeferr,Krusty-Os,4/25/2015,10.98
2527,Fangossen,Snow Plow,4/12/2015,25.04
2535,Momjudebi,Devil Donut,4/23/2015,19.26
2537,Purplellis,Hot Dog,4/22/2015,20.5
2540,MintBlogger,Buzz Cola,4/28/2015,19.78
2545,PopularTwinkle,Orange Punch,4/25/2015,18.32
2553,Alphenymp,Snow Plow,4/9/2015,19.52
2556,Plasipli,Bowling Ball,4/25/2015,7.28
2561,RazuKenka,Orange Punch,4/30/2015,20.66
2564,AnnouncerKing,Almond Milk,4/21/2015,6.58
2570,Promsdeo,Almond Milk,4/24/2015,15.34
2574,Hippopton,Barley,4/19/2015,22.98
2581,Gambitches,Krusty-Os,4/21/2015,22.48
2582,Pooleachou,Devil Donut,4/29/2015,25.74
2583,Emidsient,Almond Milk,4/25/2015,9.72
2590,Leradobs,Krusty-Os,4/2/2015,14.2
2594,Kenkately,Saxophone Reed,4/18/2015,24.94
2600,Nationtr,Snow Plow,4/24/2015,23.4
2603,NekoAngelic,Left-handed Scissors,4/9/2015,7.84
2610,Bevectican,Bowling Ball,4/13/2015,16.74
2614,IamBillHannah,Left-handed Scissors,4/13/2015,17.02
2616,IteTabloid,Slingshot,4/20/2015,17.74
2624,BrainyZollo,Orange Punch,4/6/2015,7.32
2639,Kenkatani,Bowling Ball,4/28/2015,9.64
2640,PowerSomber,Buzz Cola,4/21/2015,16.28
2641,HeheBraceFizz,Orange Punch,4/1/2015,8.78
2648,LogFly,Krusty-Os,4/4/2015,20.82
2655,Blikitbec,Krusty-Os,4/5/2015,22.8
2657,FixEver,Barley,4/15/2015,9.22
2659,NekoAngelic,Almond Milk,4/26/2015,8.36
2662,KiddoAnhart,Hot Dog,4/10/2015,16.74
2664,Poshytess,Krusty-Os,4/19/2015,21
2675,NipZero,Saxophone Reed,4/24/2015,22.98
2676,Caperlexe,Barley,4/11/2015,9.38
2679,Gladples,Krusty-Os,4/30/2015,12.96
2680,Diaryptor,Orange Punch,4/30/2015,6.7
2681,Lyndatage,Buzz Cola,4/25/2015,23.2
2684,ChiriShabby,Flower Bouquet,4/25/2015,22.84
2692,Arouset,Devil Donut,4/18/2015,8.08
2700,Perfectione,Almond Milk,4/6/2015,7.04
2703,Bauhand,Barley,4/16/2015,17.12
2704,Legendehic,Hot Dog,4/3/2015,9.74
2707,Feathmind,Orange Punch,4/14/2015,10.08
2709,Acme,Almond Milk,4/23/2015,23.54
2711,PopularTwinkle,Flower Bouquet,4/4/2015,20.26
2715,Eapperpl,Almond Milk,4/18/2015,10.76
2724,Reenaca,Almond Milk,4/11/2015,11.4
2727,Rockeefl,Devil Donut,4/24/2015,10.66
2729,Hanglober,Krusty-Os,4/16/2015,13.74
2732,CatMonkey,Left-handed Scissors,4/22/2015,17.54
2739,LiveStargal,Hot Dog,4/17/2015,19.74
2742,Advenopy,Hot Dog,4/13/2015,17.1
2743,AboveRosa,Pacifier,4/22/2015,15.76
2744,Notusetti,Devil Donut,4/28/2015,19.8
2746,Perfectione,Squishee,4/17/2015,15.42
2748,NotBase,Pacifier,4/8/2015,18.68
2754,IteTabloid,Squishee,4/29/2015,21.54
2755,Mowerpatste,Squishee,4/16/2015,8.14
2765,Screenary,Snow Plow,4/22/2015,19.38
2766,Funkimagia,Bowling Ball,4/30/2015,23.4
2768,NotBase,Snow Plow,4/12/2015,11.44
2770,Mmershpo,Flower Bouquet,4/19/2015,22.02
2774,KaptainHerald,Pacifier,4/22/2015,16.26
2775,BoboSweetBroadway,Flower Bouquet,4/4/2015,15.72
