ID,Account,Product,Period,Price
1,Bulletinte,Orange Punch,4/23/2014,8.45
2,Bloodiell,Barley,2/22/2014,11.08
3,Buddyanaphe,Saxophone Reed,1/14/2014,3.18
4,Chicatrisv,Flower Bouquet,4/23/2014,5.88
5,Quintin,Left-handed Scissors,3/21/2014,4.71
6,HanShort,Flower Bouquet,3/12/2014,7.64
7,Cellisti,Buzz Cola,4/2/2014,9.62
8,Posamne,Snow Plow,4/20/2014,4.33
9,Promsdeo,Squishee,1/13/2014,7.19
10,Hansgen,Flower Bouquet,4/22/2014,9.83
11,Perfectione,Slingshot,3/18/2014,12.15
12,OneHelp,Krusty-Os,3/20/2014,12.25
13,Firstrous,Buzz Cola,4/16/2014,4.02
14,GuyPhia,Hot Dog,1/13/2014,10.56
15,Blikingas,Devil Donut,2/3/2014,6.38
16,Arouset,Almond Milk,4/24/2014,5.26
17,Dolockar,Pacifier,1/10/2014,12.96
18,Chicatrisv,Barley,4/24/2014,8.44
19,PowerSomber,Saxophone Reed,2/18/2014,12.02
20,HeavenNarrative,Slingshot,3/19/2014,4.84
21,Shualich,Buzz Cola,4/25/2014,3.25
22,Mediantam,Flower Bouquet,3/27/2014,10.31
23,Perustima,Almond Milk,1/31/2014,7.19
24,Guantownta,Slingshot,3/17/2014,3.47
25,Keeferr,Krusty-Os,4/25/2014,3.47
26,Pathbaud,Flower Bouquet,2/28/2014,11.29
27,Fangossen,Snow Plow,4/12/2014,11.31
28,Earthamackb,Flower Bouquet,1/23/2014,6.49
29,Shoesasiane,Krusty-Os,1/6/2014,9.9
30,Kalamicvi,Barley,3/23/2014,9.04
31,HellUpdate,Bowling Ball,3/20/2014,3.92
32,Interca,Pacifier,2/3/2014,8.69
33,Ineschic,Barley,2/14/2014,10.7
34,Kittindol,Squishee,1/21/2014,3.21
35,Momjudebi,Devil Donut,4/23/2014,6.42
36,Okcupercl,Almond Milk,2/7/2014,10.71
37,Purplellis,Hot Dog,4/22/2014,12.66
38,Cimballe,Pacifier,3/20/2014,7.79
39,Plasipli,Left-handed Scissors,3/28/2014,5.77
40,MintBlogger,Buzz Cola,4/28/2014,3.06
41,Masonomou,Snow Plow,3/18/2014,5.02
42,Ollynden,Devil Donut,3/17/2014,5.01
43,Equancoat,Barley,2/3/2014,11.31
44,HellUpdate,Saxophone Reed,1/18/2014,12.04
45,PopularTwinkle,Orange Punch,4/25/2014,3.26
46,Authorksto,Orange Punch,2/21/2014,11.14
47,Bitfobaas,Krusty-Os,2/19/2014,4.72
48,Gladples,Left-handed Scissors,1/29/2014,4.31
49,Lyndatage,Flower Bouquet,3/26/2014,4.05
50,HelloGrand,Slingshot,1/21/2014,8.72
51,Giancell,Squishee,3/3/2014,5.19
52,DudeCozy,Orange Punch,3/2/2014,3.1
53,Alphenymp,Snow Plow,4/9/2014,6.28
54,Mmershpo,Devil Donut,1/15/2014,10.81
55,BlogVod,Snow Plow,2/6/2014,9.33
56,Plasipli,Bowling Ball,4/25/2014,4.87
57,Karield,Squishee,3/10/2014,3.38
58,Insideret,Barley,3/31/2014,3.41
59,Angelstage,Bowling Ball,3/17/2014,9.83
60,IteTabloid,Krusty-Os,1/1/2014,8.53
61,RazuKenka,Orange Punch,4/30/2014,6.15
62,Perustima,Bowling Ball,3/9/2014,7.15
63,Flakergo,Hot Dog,2/7/2014,4.96
64,AnnouncerKing,Almond Milk,4/21/2014,5.1
65,RatHunterCrescent,Almond Milk,3/21/2014,6.76
66,HanShort,Krusty-Os,1/16/2014,7.56
67,Pariserlo,Krusty-Os,1/29/2014,4.29
68,Namedstore,Flower Bouquet,3/4/2014,11.38
69,Mubarnet,Orange Punch,2/4/2014,9.36
70,Promsdeo,Almond Milk,4/24/2014,11.25
71,MurphyFan,Bowling Ball,2/28/2014,8.92
72,Gerystat,Buzz Cola,2/25/2014,9.69
73,ChiriShabby,Barley,3/30/2014,8.98
74,Hippopton,Barley,4/19/2014,9.9
75,Puppygman,Snow Plow,1/8/2014,8.94
76,Lithornet,Bowling Ball,3/15/2014,10.37
77,Quintin,Flower Bouquet,2/27/2014,6.47
78,Staressa,Almond Milk,3/23/2014,3.71
79,Bullowerre,Almond Milk,1/20/2014,6.6
80,Blesselud,Hot Dog,3/17/2014,3.86
81,Gambitches,Krusty-Os,4/21/2014,5.09
82,Pooleachou,Devil Donut,4/29/2014,5.49
83,Emidsient,Almond Milk,4/25/2014,7.72
84,Mmershpo,Left-handed Scissors,3/14/2014,9.05
85,Phianatune,Saxophone Reed,2/23/2014,10.91
86,Grouptu,Krusty-Os,1/23/2014,12.63
87,BugsSlayr,Snow Plow,1/7/2014,9.45
88,Advenopy,Buzz Cola,1/18/2014,9.22
89,BrainyZollo,Pacifier,3/29/2014,11.27
90,Leradobs,Krusty-Os,4/2/2014,12.52
91,Jobbcoqu,Almond Milk,2/24/2014,5.33
92,Reportsur,Flower Bouquet,1/8/2014,10.61
93,BugsSlayr,Devil Donut,3/31/2014,12.83
94,Kenkately,Saxophone Reed,4/18/2014,11.25
95,ChellTown,Left-handed Scissors,3/10/2014,7.62
96,Cuficel,Devil Donut,1/3/2014,4.36
97,NumeroTroik,Squishee,1/6/2014,6.16
98,PrestigeGlossy,Flower Bouquet,1/24/2014,8.71
99,Ificoact,Pacifier,3/5/2014,10.38
100,Nationtr,Snow Plow,4/24/2014,8.25
101,BabyPro,Barley,3/15/2014,5.26
102,Portmare,Orange Punch,1/6/2014,6.29
103,NekoAngelic,Left-handed Scissors,4/9/2014,9.04
104,InloveDiary,Saxophone Reed,1/9/2014,12.58
105,Apenguinda,Almond Milk,2/14/2014,10.15
106,Anhartzimm,Squishee,1/16/2014,3.59
107,Latinament,Almond Milk,1/28/2014,8.14
108,Equancoat,Saxophone Reed,1/23/2014,6.67
109,Nioneenf,Bowling Ball,2/27/2014,5.19
110,Bevectican,Bowling Ball,4/13/2014,8.9
111,Diaryptor,Slingshot,1/2/2014,12.83
112,Ladynallik,Buzz Cola,3/21/2014,8.6
113,Enzapper,Flower Bouquet,1/3/2014,3.44
114,IamBillHannah,Left-handed Scissors,4/13/2014,8.68
115,Selverac,Barley,1/7/2014,7.81
116,IteTabloid,Slingshot,4/20/2014,3.7
117,IteTabloid,Bowling Ball,3/11/2014,11.16
118,Euphartn,Orange Punch,3/8/2014,8.75
119,NumeroTroik,Buzz Cola,3/6/2014,7.54
120,Bradeluxie,Snow Plow,3/7/2014,7.08
121,Bloodiell,Slingshot,3/17/2014,5.72
122,Proudonnati,Bowling Ball,1/20/2014,12.15
123,Insideally,Left-handed Scissors,2/10/2014,6.3
124,BrainyZollo,Orange Punch,4/6/2014,9.53
125,Animorror,Devil Donut,2/22/2014,8.44
126,Pathbaud,Snow Plow,3/5/2014,8.99
127,Conspiracy,Snow Plow,2/11/2014,5.71
128,Hansgen,Krusty-Os,2/7/2014,11.59
129,ChiAra,Left-handed Scissors,3/29/2014,11.89
130,Chiaritail,Hot Dog,3/17/2014,6.55
131,Namedianon,Bowling Ball,3/21/2014,6.65
132,Global Media,Bowling Ball,1/12/2014,12.53
133,BingCheerup,Saxophone Reed,1/24/2014,7.19
134,HeraldIsSimple,Almond Milk,3/30/2014,7.03
135,Lukeythmed,Barley,2/21/2014,5.34
136,BristleSell,Buzz Cola,3/31/2014,11.18
137,Bothybarosa,Slingshot,3/13/2014,3.32
138,Intincrospr,Pacifier,3/12/2014,5.93
139,Kenkatani,Bowling Ball,4/28/2014,9.63
140,PowerSomber,Buzz Cola,4/21/2014,8.05
141,HeheBraceFizz,Orange Punch,4/1/2014,10.25
142,IamBillHannah,Bowling Ball,1/19/2014,3.4
143,Mithelle,Flower Bouquet,3/5/2014,6.88
144,DressySweetie,Slingshot,2/27/2014,6.7
145,Mundelise,Snow Plow,2/20/2014,6.9
146,Mediaux,Snow Plow,2/10/2014,6.67
147,CheeseSunset,Left-handed Scissors,3/27/2014,9.7
148,LogFly,Krusty-Os,4/4/2014,7.74
149,CleverSimple,Krusty-Os,1/30/2014,8.98
150,JimForlife,Hot Dog,2/18/2014,4.02
151,Bauhand,Barley,1/12/2014,11.14
152,NotBase,Hot Dog,1/8/2014,4.15
153,Fernotele,Left-handed Scissors,2/18/2014,6.98
154,Hansgen,Barley,3/17/2014,9.12
155,Blikitbec,Krusty-Os,4/5/2014,9.45
156,Screenary,Saxophone Reed,1/3/2014,10.19
157,FixEver,Barley,4/15/2014,9.89
158,Hockeywork,Buzz Cola,2/23/2014,12.5
159,NekoAngelic,Almond Milk,4/26/2014,5.92
160,Okcupercl,Hot Dog,1/20/2014,12.04
161,Slayerptig,Barley,3/1/2014,7.54
162,KiddoAnhart,Hot Dog,4/10/2014,3.39
163,AboveRosa,Krusty-Os,2/5/2014,12.39
164,Poshytess,Krusty-Os,4/19/2014,5.23
165,DeckTruck,Barley,2/14/2014,9.26
166,Quintin,Almond Milk,1/20/2014,8.39
167,Awareceleve,Snow Plow,1/4/2014,6.5
168,ListHaro,Snow Plow,3/23/2014,7.86
169,FriendTales,Saxophone Reed,3/11/2014,7.18
170,Alcheri,Buzz Cola,3/8/2014,4.82
171,Givandre,Almond Milk,3/12/2014,8.2
172,GinoWillows,Buzz Cola,1/26/2014,8.19
173,LuvBleak,Barley,1/11/2014,3.77
174,Lutechax,Squishee,2/25/2014,9.24
175,NipZero,Saxophone Reed,4/24/2014,9.72
176,Caperlexe,Barley,4/11/2014,9.16
177,NotBase,Slingshot,2/24/2014,5.03
178,Actuallywo,Hot Dog,2/26/2014,12.84
179,Gladples,Krusty-Os,4/30/2014,8.63
180,Diaryptor,Orange Punch,4/30/2014,5.76
181,Lyndatage,Buzz Cola,4/25/2014,8.14
182,Bedsoft,Flower Bouquet,1/1/2014,12.41
183,Nanosill,Bowling Ball,3/14/2014,7.42
184,ChiriShabby,Flower Bouquet,4/25/2014,11.73
185,HulkBlonde,Almond Milk,1/12/2014,8.09
186,Mithelle,Krusty-Os,1/26/2014,11.81
187,Kampenta,Left-handed Scissors,2/8/2014,7.44
188,MagazineMercy,Almond Milk,1/26/2014,11.01
189,Phiatechma,Snow Plow,2/13/2014,6.65
190,Mundelise,Saxophone Reed,2/8/2014,8.52
191,Palecto,Devil Donut,1/15/2014,10.68
192,Arouset,Devil Donut,4/18/2014,10.71
193,EyesWaveWaka,Saxophone Reed,3/6/2014,6.37
194,Hopercomni,Flower Bouquet,1/22/2014,7.44
195,Expeline,Squishee,3/28/2014,7.11
196,Bozicalyste,Slingshot,1/28/2014,11.01
197,Equancoat,Slingshot,3/15/2014,6.77
198,Latinament,Buzz Cola,2/27/2014,12.6
199,Lentelty,Orange Punch,2/25/2014,11.5
200,Perfectione,Almond Milk,4/6/2014,8.48
201,Carestl,Snow Plow,3/19/2014,3.11
202,IamBillHannah,Barley,3/1/2014,5.44
203,Bauhand,Barley,4/16/2014,5.92
204,Legendehic,Hot Dog,4/3/2014,9.76
205,Dailiesol,Orange Punch,1/20/2014,10.2
206,Holyncepha,Bowling Ball,2/19/2014,6.25
207,Feathmind,Orange Punch,4/14/2014,9.65
208,BlogVod,Bowling Ball,1/19/2014,7.45
209,Acme,Almond Milk,4/23/2014,9.82
210,EyesWaveWaka,Buzz Cola,1/12/2014,12.37
211,PopularTwinkle,Flower Bouquet,4/4/2014,3.64
212,InvaderRoll,Hot Dog,2/20/2014,12.93
213,Intellba,Flower Bouquet,3/28/2014,12.1
214,Perustima,Left-handed Scissors,2/10/2014,6.51
215,Eapperpl,Almond Milk,4/18/2014,9.78
216,Diaryptor,Almond Milk,3/14/2014,9.33
217,Noticeteat,Devil Donut,3/7/2014,7.7
218,GoldCrayon,Saxophone Reed,1/29/2014,11.48
219,Cordlets,Devil Donut,3/27/2014,11.75
220,Grinfous,Squishee,2/19/2014,10.65
221,Clericmat,Bowling Ball,3/14/2014,12.16
222,Cimballe,Squishee,3/30/2014,5.08
223,Hopebbield,Orange Punch,2/24/2014,8.76
224,Reenaca,Almond Milk,4/11/2014,8.5
225,Nioneenf,Devil Donut,2/10/2014,9.48
226,AlphaRpg,Bowling Ball,2/25/2014,11.51
227,Rockeefl,Devil Donut,4/24/2014,10.01
228,Global Media,Almond Milk,2/14/2014,9.56
229,Hanglober,Krusty-Os,4/16/2014,10.5
230,Prestigeye,Devil Donut,2/11/2014,11.53
231,HulkBlonde,Devil Donut,1/1/2014,10.15
232,CatMonkey,Left-handed Scissors,4/22/2014,10.33
233,Pistarynx,Orange Punch,1/2/2014,7.06
234,LogFly,Snow Plow,3/10/2014,9.84
235,DoubleTen,Orange Punch,2/13/2014,12.84
236,Lutechax,Devil Donut,3/22/2014,3.33
237,Mediantam,Bowling Ball,3/19/2014,3.38
238,Pedabrsel,Flower Bouquet,3/20/2014,5.66
239,LiveStargal,Hot Dog,4/17/2014,8
240,Perfeho,Hot Dog,2/6/2014,4.51
241,Dickader,Buzz Cola,1/6/2014,5.34
242,Advenopy,Hot Dog,4/13/2014,7.94
243,AboveRosa,Pacifier,4/22/2014,3.29
244,Notusetti,Devil Donut,4/28/2014,7.89
245,Blikitbec,Devil Donut,2/17/2014,12.61
246,Perfectione,Squishee,4/17/2014,5.8
247,PattyFreezing,Snow Plow,3/29/2014,6.4
248,NotBase,Pacifier,4/8/2014,12.63
249,JournalKnot,Almond Milk,3/5/2014,7.7
250,Garnetter,Flower Bouquet,2/19/2014,8.15
251,Buddyella,Saxophone Reed,3/20/2014,3.95
252,Portmare,Hot Dog,2/10/2014,4.72
253,Capenikk,Almond Milk,2/16/2014,11.08
254,IteTabloid,Squishee,4/29/2014,5.66
255,Mowerpatste,Squishee,4/16/2014,8.62
256,Palecto,Pacifier,3/9/2014,8.64
257,Nationtr,Almond Milk,2/13/2014,7.61
258,Seepanethor,Slingshot,2/2/2014,7.14
259,FantasyXoxox,Slingshot,1/30/2014,9.81
260,Nioneenf,Almond Milk,2/18/2014,4.46
261,Cochinger,Orange Punch,1/10/2014,8.1
262,Japanos,Orange Punch,1/22/2014,11.53
263,Bingovence,Slingshot,2/10/2014,8.72
264,Divisional,Snow Plow,2/3/2014,3.24
265,Screenary,Snow Plow,4/22/2014,7.67
266,Funkimagia,Bowling Ball,4/30/2014,6.14
267,Shoesasiane,Buzz Cola,2/18/2014,7.73
268,NotBase,Snow Plow,4/12/2014,10.47
269,Dailiesol,Krusty-Os,2/12/2014,4.17
270,Mmershpo,Flower Bouquet,4/19/2014,10.05
271,Daranter,Pacifier,1/28/2014,12.33
272,ForlifeLittle,Slingshot,1/4/2014,5.63
273,Besteres,Flower Bouquet,2/7/2014,3.04
274,KaptainHerald,Pacifier,4/22/2014,11.49
275,BoboSweetBroadway,Flower Bouquet,4/4/2014,5.67
276,Euphartn,Slingshot,4/9/2014,4.11
277,ListHaro,Orange Punch,3/2/2014,4.29
278,PartyBright,Bowling Ball,3/23/2014,10.2
279,Nanosill,Buzz Cola,3/18/2014,11.86
280,Hopebbield,Barley,1/3/2014,7.48
281,Chicatrisv,Snow Plow,3/2/2014,11.03
282,AnnouncerNephew,Devil Donut,4/12/2014,7.07
283,Cellisti,Squishee,3/15/2014,12.34
284,Logiclynn,Slingshot,2/16/2014,7.18
285,Holyncepha,Slingshot,1/24/2014,6.45
286,Dustpla,Squishee,1/6/2014,6.19
287,Careampa,Flower Bouquet,1/13/2014,3.52
288,Awareceleve,Devil Donut,4/30/2014,8.9
289,Reenaca,Left-handed Scissors,4/22/2014,4.5
290,Awareceleve,Bowling Ball,4/28/2014,3.64
291,Genusting,Saxophone Reed,3/9/2014,6.97
292,ArsenalKino,Bowling Ball,4/1/2014,11.24
293,Bridgec,Left-handed Scissors,2/9/2014,10.74
294,AnnouncerNephew,Squishee,2/3/2014,11.87
295,Gladples,Buzz Cola,3/21/2014,12.87
296,Gerystat,Barley,2/21/2014,11.93
297,Promsdeo,Hot Dog,4/11/2014,12.87
298,DoggIntincr,Flower Bouquet,4/22/2014,4.86
299,Mazdobatu,Squishee,4/27/2014,8.59
300,Ionidexcros,Barley,3/29/2014,4.64
301,Chilledet,Flower Bouquet,4/10/2014,10.34
302,AboutWise,Hot Dog,1/13/2014,10.23
303,Intellba,Devil Donut,4/20/2014,10.35
304,Networker,Saxophone Reed,2/18/2014,7.62
305,Shaticubed,Hot Dog,2/27/2014,4.23
306,Sigands,Pacifier,4/22/2014,8.32
307,Intincrol,Krusty-Os,3/22/2014,9.87
