Account,Product,Period,Price
Bulletinte,Orange Punch,4/23/2014,8.45
Bloodiell,Barley,2/22/2014,11.08
Buddyanaphe,Saxophone Reed,1/14/2014,3.18
Chicatrisv,Flower Bouquet,4/23/2014,5.88
Quintin,Left-handed Scissors,3/21/2014,4.71
HanShort,Flower Bouquet,3/12/2014,7.64
Cellisti,Buzz Cola,4/2/2014,9.62
Posamne,Snow Plow,4/20/2014,4.33
Promsdeo,Squishee,1/13/2014,7.19
Hansgen,Flower Bouquet,4/22/2014,9.83
Perfectione,Slingshot,3/18/2014,12.15
OneHelp,Krusty-Os,3/20/2014,12.25
Firstrous,Buzz Cola,4/16/2014,4.02
GuyPhia,Hot Dog,1/13/2014,10.56
Blikingas,Devil Donut,2/3/2014,6.38
Arouset,Almond Milk,4/24/2014,5.26
Dolockar,Pacifier,1/10/2014,12.96
Chicatrisv,Barley,4/24/2014,8.44
PowerSomber,Saxophone Reed,2/18/2014,12.02
HeavenNarrative,Slingshot,3/19/2014,4.84
Shualich,Buzz Cola,4/25/2014,3.25
Mediantam,Flower Bouquet,3/27/2014,10.31
Perustima,Almond Milk,1/31/2014,7.19
Guantownta,Slingshot,3/17/2014,3.47
Keeferr,Krusty-Os,4/25/2014,3.47
Pathbaud,Flower Bouquet,2/28/2014,11.29
Fangossen,Snow Plow,4/12/2014,11.31
Earthamackb,Flower Bouquet,1/23/2014,6.49
Shoesasiane,Krusty-Os,1/6/2014,9.90
Kalamicvi,Barley,3/23/2014,9.04
HellUpdate,Bowling Ball,3/20/2014,3.92
Interca,Pacifier,2/3/2014,8.69
Ineschic,Barley,2/14/2014,10.70
Kittindol,Squishee,1/21/2014,3.21
Momjudebi,Devil Donut,4/23/2014,6.42
Okcupercl,Almond Milk,2/7/2014,10.71
Purplellis,Hot Dog,4/22/2014,12.66
Cimballe,Pacifier,3/20/2014,7.79
Plasipli,Left-handed Scissors,3/28/2014,5.77
MintBlogger,Buzz Cola,4/28/2014,3.06
Masonomou,Snow Plow,3/18/2014,5.02
Ollynden,Devil Donut,3/17/2014,5.01
Equancoat,Barley,2/3/2014,11.31
HellUpdate,Saxophone Reed,1/18/2014,12.04
PopularTwinkle,Orange Punch,4/25/2014,3.26
Authorksto,Orange Punch,2/21/2014,11.14
Bitfobaas,Krusty-Os,2/19/2014,4.72
Gladples,Left-handed Scissors,1/29/2014,4.31
Lyndatage,Flower Bouquet,3/26/2014,4.05
HelloGrand,Slingshot,1/21/2014,8.72
Giancell,Squishee,3/3/2014,5.19
DudeCozy,Orange Punch,3/2/2014,3.10
Alphenymp,Snow Plow,4/9/2014,6.28
Mmershpo,Devil Donut,1/15/2014,10.81
BlogVod,Snow Plow,2/6/2014,9.33
Plasipli,Bowling Ball,4/25/2014,4.87
Karield,Squishee,3/10/2014,3.38
Insideret,Barley,3/31/2014,3.41
Angelstage,Bowling Ball,3/17/2014,9.83
IteTabloid,Krusty-Os,1/1/2014,8.53
RazuKenka,Orange Punch,4/30/2014,6.15
Perustima,Bowling Ball,3/9/2014,7.15
Flakergo,Hot Dog,2/7/2014,4.96
AnnouncerKing,Almond Milk,4/21/2014,5.10
RatHunterCrescent,Almond Milk,3/21/2014,6.76
HanShort,Krusty-Os,1/16/2014,7.56
Pariserlo,Krusty-Os,1/29/2014,4.29
Namedstore,Flower Bouquet,3/4/2014,11.38
Mubarnet,Orange Punch,2/4/2014,9.36
Promsdeo,Almond Milk,4/24/2014,11.25
MurphyFan,Bowling Ball,2/28/2014,8.92
Gerystat,Buzz Cola,2/25/2014,9.69
ChiriShabby,Barley,3/30/2014,8.98
Hippopton,Barley,4/19/2014,9.90
Puppygman,Snow Plow,1/8/2014,8.94
Lithornet,Bowling Ball,3/15/2014,10.37
Quintin,Flower Bouquet,2/27/2014,6.47
Staressa,Almond Milk,3/23/2014,3.71
Bullowerre,Almond Milk,1/20/2014,6.60
Blesselud,Hot Dog,3/17/2014,3.86
Gambitches,Krusty-Os,4/21/2014,5.09
Pooleachou,Devil Donut,4/29/2014,5.49
Emidsient,Almond Milk,4/25/2014,7.72
Mmershpo,Left-handed Scissors,3/14/2014,9.05
Phianatune,Saxophone Reed,2/23/2014,10.91
Grouptu,Krusty-Os,1/23/2014,12.63
BugsSlayr,Snow Plow,1/7/2014,9.45
Advenopy,Buzz Cola,1/18/2014,9.22
BrainyZollo,Pacifier,3/29/2014,11.27
Leradobs,Krusty-Os,4/2/2014,12.52
Jobbcoqu,Almond Milk,2/24/2014,5.33
Reportsur,Flower Bouquet,1/8/2014,10.61
BugsSlayr,Devil Donut,3/31/2014,12.83
Kenkately,Saxophone Reed,4/18/2014,11.25
ChellTown,Left-handed Scissors,3/10/2014,7.62
Cuficel,Devil Donut,1/3/2014,4.36
NumeroTroik,Squishee,1/6/2014,6.16
PrestigeGlossy,Flower Bouquet,1/24/2014,8.71
Ificoact,Pacifier,3/5/2014,10.38
Nationtr,Snow Plow,4/24/2014,8.25
BabyPro,Barley,3/15/2014,5.26
Portmare,Orange Punch,1/6/2014,6.29
NekoAngelic,Left-handed Scissors,4/9/2014,9.04
InloveDiary,Saxophone Reed,1/9/2014,12.58
Apenguinda,Almond Milk,2/14/2014,10.15
Anhartzimm,Squishee,1/16/2014,3.59
Latinament,Almond Milk,1/28/2014,8.14
Equancoat,Saxophone Reed,1/23/2014,6.67
Nioneenf,Bowling Ball,2/27/2014,5.19
Bevectican,Bowling Ball,4/13/2014,8.90
Diaryptor,Slingshot,1/2/2014,12.83
Ladynallik,Buzz Cola,3/21/2014,8.60
Enzapper,Flower Bouquet,1/3/2014,3.44
IamBillHannah,Left-handed Scissors,4/13/2014,8.68
Selverac,Barley,1/7/2014,7.81
IteTabloid,Slingshot,4/20/2014,3.70
IteTabloid,Bowling Ball,3/11/2014,11.16
Euphartn,Orange Punch,3/8/2014,8.75
NumeroTroik,Buzz Cola,3/6/2014,7.54
Bradeluxie,Snow Plow,3/7/2014,7.08
Bloodiell,Slingshot,3/17/2014,5.72
Proudonnati,Bowling Ball,1/20/2014,12.15
Insideally,Left-handed Scissors,2/10/2014,6.30
BrainyZollo,Orange Punch,4/6/2014,9.53
Animorror,Devil Donut,2/22/2014,8.44
Pathbaud,Snow Plow,3/5/2014,8.99
Conspiracy,Snow Plow,2/11/2014,5.71
Hansgen,Krusty-Os,2/7/2014,11.59
ChiAra,Left-handed Scissors,3/29/2014,11.89
Chiaritail,Hot Dog,3/17/2014,6.55
Namedianon,Bowling Ball,3/21/2014,6.65
Global Media,Bowling Ball,1/12/2014,12.53
BingCheerup,Saxophone Reed,1/24/2014,7.19
HeraldIsSimple,Almond Milk,3/30/2014,7.03
Lukeythmed,Barley,2/21/2014,5.34
BristleSell,Buzz Cola,3/31/2014,11.18
Bothybarosa,Slingshot,3/13/2014,3.32
Intincrospr,Pacifier,3/12/2014,5.93
Kenkatani,Bowling Ball,4/28/2014,9.63
PowerSomber,Buzz Cola,4/21/2014,8.05
HeheBraceFizz,Orange Punch,4/1/2014,10.25
IamBillHannah,Bowling Ball,1/19/2014,3.40
Mithelle,Flower Bouquet,3/5/2014,6.88
DressySweetie,Slingshot,2/27/2014,6.70
Mundelise,Snow Plow,2/20/2014,6.90
Mediaux,Snow Plow,2/10/2014,6.67
CheeseSunset,Left-handed Scissors,3/27/2014,9.70
LogFly,Krusty-Os,4/4/2014,7.74
CleverSimple,Krusty-Os,1/30/2014,8.98
JimForlife,Hot Dog,2/18/2014,4.02
Bauhand,Barley,1/12/2014,11.14
NotBase,Hot Dog,1/8/2014,4.15
Fernotele,Left-handed Scissors,2/18/2014,6.98
Hansgen,Barley,3/17/2014,9.12
Blikitbec,Krusty-Os,4/5/2014,9.45
Screenary,Saxophone Reed,1/3/2014,10.19
FixEver,Barley,4/15/2014,9.89
Hockeywork,Buzz Cola,2/23/2014,12.50
NekoAngelic,Almond Milk,4/26/2014,5.92
Okcupercl,Hot Dog,1/20/2014,12.04
Slayerptig,Barley,3/1/2014,7.54
KiddoAnhart,Hot Dog,4/10/2014,3.39
AboveRosa,Krusty-Os,2/5/2014,12.39
Poshytess,Krusty-Os,4/19/2014,5.23
DeckTruck,Barley,2/14/2014,9.26
Quintin,Almond Milk,1/20/2014,8.39
Awareceleve,Snow Plow,1/4/2014,6.50
ListHaro,Snow Plow,3/23/2014,7.86
FriendTales,Saxophone Reed,3/11/2014,7.18
Alcheri,Buzz Cola,3/8/2014,4.82
Givandre,Almond Milk,3/12/2014,8.20
GinoWillows,Buzz Cola,1/26/2014,8.19
LuvBleak,Barley,1/11/2014,3.77
Lutechax,Squishee,2/25/2014,9.24
NipZero,Saxophone Reed,4/24/2014,9.72
Caperlexe,Barley,4/11/2014,9.16
NotBase,Slingshot,2/24/2014,5.03
Actuallywo,Hot Dog,2/26/2014,12.84
Gladples,Krusty-Os,4/30/2014,8.63
Diaryptor,Orange Punch,4/30/2014,5.76
Lyndatage,Buzz Cola,4/25/2014,8.14
Bedsoft,Flower Bouquet,1/1/2014,12.41
Nanosill,Bowling Ball,3/14/2014,7.42
ChiriShabby,Flower Bouquet,4/25/2014,11.73
HulkBlonde,Almond Milk,1/12/2014,8.09
Mithelle,Krusty-Os,1/26/2014,11.81
Kampenta,Left-handed Scissors,2/8/2014,7.44
MagazineMercy,Almond Milk,1/26/2014,11.01
Phiatechma,Snow Plow,2/13/2014,6.65
Mundelise,Saxophone Reed,2/8/2014,8.52
Palecto,Devil Donut,1/15/2014,10.68
Arouset,Devil Donut,4/18/2014,10.71
EyesWaveWaka,Saxophone Reed,3/6/2014,6.37
Hopercomni,Flower Bouquet,1/22/2014,7.44
Expeline,Squishee,3/28/2014,7.11
Bozicalyste,Slingshot,1/28/2014,11.01
Equancoat,Slingshot,3/15/2014,6.77
Latinament,Buzz Cola,2/27/2014,12.60
Lentelty,Orange Punch,2/25/2014,11.50
Perfectione,Almond Milk,4/6/2014,8.48
Carestl,Snow Plow,3/19/2014,3.11
IamBillHannah,Barley,3/1/2014,5.44
